unique	unique_null	directional	directional_null	edit_distance
6722544	6722544	7137287	7137287	Single_UMI
0	54	0	21	0
392299	990	20156	449	1
71593	8261	27394	4000	2
23210	39726	20941	18771	3
59512	120914	50124	56545	4
101411	246062	98420	113004	5
94114	269200	106596	124532	6
29640	86572	33405	39714	7
0	0	0	0	8
