unique	unique_null	directional	directional_null	edit_distance
4918703	4918703	5278880	5278880	Single_UMI
0	45	0	30	0
327388	967	16086	565	1
76605	8245	26117	4785	2
33064	39365	27753	22757	3
79433	120149	65374	69190	4
124520	251193	122381	135381	5
109529	280809	126790	145177	6
37714	87480	43575	50191	7
0	0	0	0	8
