unique	unique_null	directional	directional_null	edit_distance
8522734	8522734	8761836	8761836	Single_UMI
0	50	0	27	0
236683	877	14372	574	1
35268	7435	17764	5160	2
28500	37471	26616	25287	3
81990	115231	74934	78653	4
167426	246419	162958	170817	5
186221	292596	197118	208711	6
52477	88486	55701	60234	7
0	0	0	0	8
