unique	unique_null	directional	directional_null	edit_distance
4960349	4960349	5129334	5129334	Single_UMI
0	39	0	29	0
164262	781	3445	619	1
32617	6593	23898	4761	2
29014	31661	26957	23091	3
76907	96114	69345	70465	4
148687	204577	144730	151401	5
156426	240849	167453	180585	6
43524	70823	46624	51501	7
0	0	0	0	8
