unique	unique_null	directional	directional_null	edit_distance
17018324	17018324	17139635	17139635	Single_UMI
0	82	0	69	0
121501	1359	2213	1192	1
19102	11079	16898	9606	2
46291	51374	45383	45031	3
141125	158106	137112	138029	4
322543	359800	319309	323346	5
418364	468224	425030	427259	6
102281	121183	103951	105364	7
0	0	0	0	8
