unique	unique_null	directional	directional_null	edit_distance
10308391	10308391	10515574	10515574	Single_UMI
0	73	0	49	0
204170	1257	10928	1051	1
35999	10661	21539	8473	2
44019	50932	41686	40657	3
131796	157035	123047	125442	4
278438	346440	272560	280429	5
322405	420364	336328	346175	6
84851	114916	88407	92219	7
0	0	0	0	8
