unique	unique_null	directional	directional_null	edit_distance
4156917	4156917	4303893	4303893	Single_UMI
0	36	0	14	0
141943	670	2114	429	1
27598	5315	19995	3672	2
23367	25775	21687	18654	3
61070	78818	55250	55755	4
110590	161722	108233	115009	5
112491	181676	120401	130167	6
33807	56854	36210	40190	7
0	0	0	0	8
