unique	unique_null	directional	directional_null	edit_distance
14613426	14613426	14792720	14792720	Single_UMI
0	93	0	65	0
176458	1468	4808	1151	1
32801	11604	24609	8892	2
42402	51380	41302	40049	3
118400	149072	113569	116959	4
245910	310178	243152	251039	5
249629	319454	257285	263462	6
60527	82878	62108	65216	7
0	0	0	0	8
