unique	unique_null	directional	directional_null	edit_distance
18357428	18357428	18512843	18512843	Single_UMI
0	94	0	71	0
155268	1540	3277	1249	1
24817	12273	21162	10646	2
52986	58826	51726	50516	3
160867	181901	155708	157541	4
361745	410648	357406	362775	5
458239	525718	466944	470805	6
118357	141279	120641	123261	7
0	0	0	0	8
