unique	unique_null	directional	directional_null	edit_distance
8328555	8328555	8572299	8572299	Single_UMI
0	55	0	22	0
242899	896	14983	525	1
33603	6930	17310	4589	2
24929	34355	23121	22436	3
73090	107104	66411	69275	4
146811	228601	142819	151554	5
164822	271477	174777	186029	6
46261	82997	49250	54241	7
0	0	0	0	8
