unique	unique_null	directional	directional_null	edit_distance
22003997	22003997	22271341	22271341	Single_UMI
0	120	0	87	0
266668	2158	8250	1846	1
39399	17933	29896	14568	2
70144	83134	67982	67144	3
208146	247653	199144	202924	4
447140	535968	441285	450016	5
510400	618926	524493	531498	6
127889	163894	131392	134359	7
0	0	0	0	8
