unique	unique_null	directional	directional_null	edit_distance
1526543	1526543	1674716	1674716	Single_UMI
0	48	0	29	0
127301	514	1623	230	1
38786	3316	15719	1422	2
9464	13757	7867	5791	3
17624	38608	13394	16302	4
23835	77882	23787	29329	5
18265	82294	23081	29800	6
6084	24940	7715	10283	7
0	0	0	0	8
