unique	unique_null	directional	directional_null	edit_distance
11540526	11540526	11778126	11778126	Single_UMI
0	51	0	34	0
238115	1036	14553	636	1
32224	8362	17695	5634	2
29702	40142	28238	27547	3
86809	122585	81044	85212	4
179152	259320	175446	185483	5
207217	306870	216115	225169	6
56594	91447	59122	62498	7
0	0	0	0	8
