unique	unique_null	directional	directional_null	edit_distance
8777721	8777721	8983887	8983887	Single_UMI
0	23	0	14	0
205902	578	10243	361	1
22106	5279	11308	3021	2
16577	26296	15675	15278	3
47684	80238	44020	47043	4
96097	163977	93892	99455	5
105778	187807	111172	118675	6
31299	61245	32967	35430	7
0	0	0	0	8
