unique	unique_null	directional	directional_null	edit_distance
5653805	5653805	5961588	5961588	Single_UMI
0	161	0	96	0
294130	1790	15512	870	1
48047	10186	17941	4699	2
20784	37190	18530	17659	3
50437	99743	43013	47457	4
84565	190162	82102	91414	5
73422	193987	83612	94610	6
21719	59885	24611	28516	7
0	0	0	0	8
