unique	unique_null	directional	directional_null	edit_distance
12601337	12601337	12756379	12756379	Single_UMI
0	59	0	44	0
156451	974	6351	794	1
19393	8522	14219	6832	2
34734	41057	33469	33002	3
106704	128119	101994	104219	4
241256	290451	237246	241081	5
302625	369304	310716	316089	6
76969	99646	79095	81029	7
0	0	0	0	8
