unique	unique_null	directional	directional_null	edit_distance
15202087	15202087	15358612	15358612	Single_UMI
0	43	0	45	0
157058	952	4110	785	1
19587	8566	15833	6747	2
34387	41630	33313	32431	3
101532	126265	97847	100248	4
216646	268015	214144	218679	5
253070	315328	258869	264103	6
68477	89958	70116	71194	7
0	0	0	0	8
