unique	unique_null	directional	directional_null	edit_distance
8873101	8873101	9069317	9069317	Single_UMI
0	23	0	13	0
197489	630	12509	350	1
22171	5416	10655	3334	2
17002	26043	16066	15632	3
50307	80442	46299	49249	4
105521	170515	103033	109051	5
121581	202028	127532	135372	6
34027	63001	35788	38881	7
0	0	0	0	8
