unique	unique_null	directional	directional_null	edit_distance
10732015	10732015	10908234	10908234	Single_UMI
0	33	0	30	0
171231	755	6652	640	1
31992	6868	19617	4819	2
25508	32941	24785	23791	3
74927	101456	70408	73935	4
158564	219066	155724	163003	5
184920	260923	191791	200221	6
50696	75796	52642	55180	7
0	0	0	0	8
