unique	unique_null	directional	directional_null	edit_distance
8458063	8458063	8711085	8711085	Single_UMI
0	38	0	26	0
252747	838	16418	454	1
31031	6631	13896	3734	2
19093	31483	17823	17767	3
54377	94568	49104	52781	4
105730	192088	103267	111317	5
109359	210868	116683	126324	6
30644	66467	32768	37556	7
0	0	0	0	8
