unique	unique_null	directional	directional_null	edit_distance
18565220	18565220	18841572	18841572	Single_UMI
0	62	0	48	0
267963	1432	8700	1162	1
57244	12964	38278	10101	2
55606	63428	54534	49679	3
160380	198419	151333	157288	4
356432	450534	349840	362319	5
439700	568766	454448	470551	6
110914	152634	114754	120739	7
0	0	0	0	8
