unique	unique_null	directional	directional_null	edit_distance
23762442	23762442	23937690	23937690	Single_UMI
0	94	0	90	0
175161	1741	3405	1519	1
26538	14465	22770	12475	2
62458	69720	61043	59928	3
192951	216244	187270	189022	4
438619	494565	434157	439232	5
566257	639557	575745	580468	6
140833	166431	143179	144835	7
0	0	0	0	8
