unique	unique_null	directional	directional_null	edit_distance
7481806	7481806	7787652	7787652	Single_UMI
0	68	0	26	0
299297	945	18567	461	1
41713	7409	15953	3700	2
19275	34181	17532	17411	3
52754	100485	46289	51347	4
99661	204412	96520	106778	5
101219	224905	110597	121035	6
29167	70681	31782	36482	7
0	0	0	0	8
