unique	unique_null	directional	directional_null	edit_distance
23883339	23883339	24004338	24004338	Single_UMI
0	128	0	126	0
121479	2133	2118	1851	1
23874	16701	22093	15288	2
76116	79151	74902	72754	3
231121	245562	226446	225788	4
512303	548379	508552	511124	5
634759	688948	642553	646710	6
162119	180769	164108	167131	7
0	0	0	0	8
