unique	unique_null	directional	directional_null	edit_distance
19644378	19644378	19823788	19823788	Single_UMI
0	57	0	78	0
178267	1423	2035	1239	1
30546	12689	27035	10753	2
55480	61913	54090	52149	3
166846	192448	161128	162472	4
371840	430279	367400	374647	5
461802	538686	471274	477924	6
117348	144634	119757	123457	7
0	0	0	0	8
